ID1,EstimationDate,id,EstimationRunStepId,NetworkNodeId,name
175,2021-02-27 14:00:00.000,6920039,8930,9012,103913878/2
176,2021-02-27 14:00:00.000,6920397,8930,8269,103913879/1
177,2021-02-27 14:00:00.000,6920306,8930,6320,103913880/1
178,2021-02-27 14:00:00.000,6920012,8930,6330,103913880/2
179,2021-02-27 14:00:00.000,6920151,8930,8793,103913881/1
180,2021-02-27 14:00:00.000,6920266,8930,7876,103913883/1
181,2021-02-27 14:00:00.000,6919977,8930,8448,103913883/2
182,2021-02-27 14:00:00.000,6920135,8930,7998,103983899/1
183,2021-02-27 14:00:00.000,6919987,8930,8703,104001493/1
184,2021-02-27 14:00:00.000,6919996,8930,8373,104001493/2
185,2021-02-27 14:00:00.000,6920215,8930,6822,104028191/1
186,2021-02-27 14:00:00.000,6920277,8930,7652,104028191/2
187,2021-02-27 14:00:00.000,6920158,8930,9030,104075506/1
188,2021-02-27 14:00:00.000,6920054,8930,6288,104075506/2
189,2021-02-27 14:00:00.000,6920008,8930,6733,104075507/1
190,2021-02-27 14:00:00.000,6920132,8930,8838,104075507/2
191,2021-02-27 14:00:00.000,6920383,8930,8131,104075508/1
192,2021-02-27 14:00:00.000,6920139,8930,8247,104075508/2
193,2021-02-27 14:00:00.000,6920239,8930,7038,104075509/1
194,2021-02-27 14:00:00.000,6920079,8930,9010,104075510/1
195,2021-02-27 14:00:00.000,6920295,8930,6640,104075510/2
196,2021-02-27 14:00:00.000,6920371,8930,7257,104100129/1
197,2021-02-27 14:00:00.000,6920369,8930,7508,104100129/2
198,2021-02-27 14:00:00.000,6920091,8930,7954,104100130/1
199,2021-02-27 14:00:00.000,6920299,8930,7564,104100131/1
200,2021-02-27 14:00:00.000,6920344,8930,7921,104100131/2
201,2021-02-27 14:00:00.000,6920121,8930,8480,104100134/1
202,2021-02-27 14:00:00.000,6920015,8930,7877,104100134/2
203,2021-02-27 14:00:00.000,6920279,8930,6251,104100142/1
204,2021-02-27 14:00:00.000,6920107,8930,8615,104100142/2
205,2021-02-27 14:00:00.000,6920300,8930,7320,104101216/1
206,2021-02-27 14:00:00.000,6920101,8930,8898,104101216/2
207,2021-02-27 14:00:00.000,6920023,8930,6521,104110652/1
208,2021-02-27 14:00:00.000,6920384,8930,8029,104110652/2
209,2021-02-27 14:00:00.000,6920148,8930,7923,104110997/1
210,2021-02-27 14:00:00.000,6920098,8930,8201,104110997/2
211,2021-02-27 14:00:00.000,6920190,8930,8864,104111000/1
212,2021-02-27 14:00:00.000,6920053,8930,8677,104111000/2
213,2021-02-27 14:00:00.000,6920339,8930,7953,104172578/1
214,2021-02-27 14:00:00.000,6920108,8930,8468,104172578/2
215,2021-02-27 14:00:00.000,6920291,8930,7596,104172581/1
216,2021-02-27 14:00:00.000,6920072,8930,7886,104172581/2
217,2021-02-27 14:00:00.000,6920047,8930,7618,104172584/1
218,2021-02-27 14:00:00.000,6920138,8930,7534,104172584/2
219,2021-02-27 14:00:00.000,6919979,8930,7365,104172587/1
220,2021-02-27 14:00:00.000,6920033,8930,7255,104172587/2
221,2021-02-27 14:00:00.000,6920176,8930,8756,104172592/1
222,2021-02-27 14:00:00.000,6920087,8930,8245,104172594/1
223,2021-02-27 14:00:00.000,6920105,8930,6643,104172594/2
224,2021-02-27 14:00:00.000,6920126,8930,8787,104218303/1
225,2021-02-27 14:00:00.000,6920040,8930,7484,104226973/1
226,2021-02-27 14:00:00.000,6920136,8930,6777,104226973/2
227,2021-02-27 14:00:00.000,6920246,8930,7759,104293363/1
228,2021-02-27 14:00:00.000,6920152,8930,6886,104293363/2
229,2021-02-27 14:00:00.000,6920228,8930,6838,104605818/1
230,2021-02-27 14:00:00.000,6920205,8930,8649,104605818/2
231,2021-02-27 14:00:00.000,6920165,8930,8680,104605819/1
232,2021-02-27 14:00:00.000,6920094,8930,7366,104605819/2
233,2021-02-27 14:00:00.000,6920303,8930,7781,104605824/1
234,2021-02-27 14:00:00.000,6920282,8930,6275,104605824/2
235,2021-02-27 14:00:00.000,6920020,8930,8971,104605825/1
236,2021-02-27 14:00:00.000,6920191,8930,7965,104605826/1
237,2021-02-27 14:00:00.000,6920092,8930,7693,104605826/2
238,2021-02-27 14:00:00.000,6920249,8930,6756,104627618/1
239,2021-02-27 14:00:00.000,6920065,8930,8803,104627618/2
240,2021-02-27 14:00:00.000,6920217,8930,8804,104627619/1
241,2021-02-27 14:00:00.000,6920289,8930,7164,104627619/2
242,2021-02-27 14:00:00.000,6920269,8930,7188,104627620/1
243,2021-02-27 14:00:00.000,6920038,8930,8911,104627621/1
244,2021-02-27 14:00:00.000,6920112,8930,9091,104627622/1
245,2021-02-27 14:00:00.000,6920093,8930,8749,104627622/2
246,2021-02-27 14:00:00.000,6920390,8930,7120,104627624/1
247,2021-02-27 14:00:00.000,6920082,8930,7784,104627624/2
248,2021-02-27 14:00:00.000,6920241,8930,7554,104924416/1
249,2021-02-27 14:00:00.000,6920099,8930,8597,104924416/2
250,2021-02-27 14:00:00.000,6920213,8930,8461,104924417/1
